Order ID,Order Date,Customer ID,Customer Name,Customer Type,Segment,Region,State,City,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Cost,Profit,Returned,First Purchase Date
O000028,2023-01-01,C1266,Customer 1266,New,Consumer,North,Delhi,Delhi,Office Supplies,Storage,P009,File Organizer,518.2,1,0.1,205.64,312.56,No,2023-01-01
O000056,2023-01-01,C0794,Customer 0794,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Paper,P007,Printer Paper Box,1270.3,2,0.15,525.33,744.96,No,2023-01-01
O000067,2023-01-01,C0127,Customer 0127,New,Corporate,North,Uttarakhand,Dehradun,Office Supplies,Storage,P009,File Organizer,431.76,1,0.2,164.14,267.61,No,2023-01-01
O000007,2023-01-02,C0609,Customer 0609,New,Consumer,North,Uttarakhand,Dehradun,Furniture,Office Furniture,P001,Laptop Stand,1046.9,1,0.1,448.21,598.68,No,2023-01-02
O000025,2023-01-02,C0001,Customer 0001,New,Consumer,West,Maharashtra,Mumbai,Technology,Accessories,P011,Wireless Mouse,949.24,1,0.15,394.44,554.8,No,2023-01-02
O000034,2023-01-02,C0120,Customer 0120,New,Corporate,West,Gujarat,Ahmedabad,Technology,Monitors,P013,27-inch Monitor,17073.47,1,0.1,8276.35,8797.12,No,2023-01-02
O000041,2023-01-02,C1229,Customer 1229,New,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Writing,P010,Premium Pen Set,1270.46,2,0.05,509.91,760.55,No,2023-01-02
O000104,2023-01-02,C1211,Customer 1211,New,Small Business,South,Telangana,Hyderabad,Office Supplies,Writing,P010,Premium Pen Set,2305.31,4,0.1,950.51,1354.8,No,2023-01-02
O000109,2023-01-02,C1050,Customer 1050,New,Corporate,East,Odisha,Bhubaneswar,Furniture,Chairs,P002,Ergonomic Chair,8843.42,1,0.0,4020.53,4822.89,No,2023-01-02
O000131,2023-01-02,C0917,Customer 0917,New,Corporate,South,Tamil Nadu,Chennai,Technology,Printers,P016,Laser Printer,13960.27,1,0.05,6795.09,7165.18,No,2023-01-02
O000006,2023-01-03,C1250,Customer 1250,New,Consumer,North,Chandigarh,Chandigarh,Office Supplies,Lighting,P005,LED Desk Lamp,1262.27,1,0.1,557.24,705.03,No,2023-01-03
O000018,2023-01-03,C0563,Customer 0563,New,Consumer,North,Chandigarh,Chandigarh,Technology,Accessories,P015,Webcam,6413.86,2,0.1,2634.25,3779.61,No,2023-01-03
O000035,2023-01-03,C0737,Customer 0737,New,Consumer,North,Rajasthan,Jaipur,Technology,Monitors,P013,27-inch Monitor,14848.28,1,0.15,7324.17,7524.1,No,2023-01-03
O000047,2023-01-03,C0591,Customer 0591,New,Consumer,South,Kerala,Kochi,Furniture,Office Furniture,P001,Laptop Stand,1107.87,1,0.1,469.05,-31.94,Yes,2023-01-03
O000057,2023-01-03,C1215,Customer 1215,New,Corporate,West,Gujarat,Surat,Office Supplies,Storage,P009,File Organizer,848.61,2,0.2,330.48,518.13,No,2023-01-03
O000059,2023-01-03,C0494,Customer 0494,New,Consumer,North,Delhi,Delhi,Furniture,Office Furniture,P001,Laptop Stand,2200.65,2,0.1,972.73,1227.92,No,2023-01-03
O000110,2023-01-03,C1324,Customer 1324,New,Corporate,North,Uttar Pradesh,Lucknow,Technology,Accessories,P011,Wireless Mouse,1000.99,1,0.05,402.01,598.98,No,2023-01-03
O000112,2023-01-03,C0723,Customer 0723,New,Consumer,West,Maharashtra,Pune,Office Supplies,Storage,P009,File Organizer,468.46,1,0.15,183.34,285.12,No,2023-01-03
O000133,2023-01-03,C0946,Customer 0946,New,Small Business,South,Tamil Nadu,Chennai,Office Supplies,Paper,P006,Notebook Pack,384.11,1,0.05,135.36,248.75,No,2023-01-03
O000138,2023-01-03,C0226,Customer 0226,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Lighting,P005,LED Desk Lamp,5608.81,4,0.05,2385.36,3223.45,No,2023-01-03
O000003,2023-01-04,C0107,Customer 0107,New,Consumer,North,Delhi,Delhi,Technology,Monitors,P013,27-inch Monitor,18858.99,1,0.0,9576.3,9282.69,No,2023-01-04
O000016,2023-01-04,C0134,Customer 0134,New,Small Business,East,Jharkhand,Ranchi,Technology,Accessories,P015,Webcam,6390.54,2,0.1,2528.3,3862.24,No,2023-01-04
O000058,2023-01-04,C0340,Customer 0340,New,Consumer,East,West Bengal,Kolkata,Office Supplies,Writing,P010,Premium Pen Set,2381.92,4,0.05,931.59,1450.33,No,2023-01-04
O000081,2023-01-04,C0755,Customer 0755,New,Consumer,North,Rajasthan,Jaipur,Technology,Accessories,P011,Wireless Mouse,947.2,1,0.05,375.21,571.99,No,2023-01-04
O000083,2023-01-04,C0022,Customer 0022,New,Consumer,South,Kerala,Kochi,Furniture,Chairs,P002,Ergonomic Chair,7192.02,1,0.1,3433.77,3758.25,No,2023-01-04
O000094,2023-01-04,C0263,Customer 0263,New,Consumer,West,Maharashtra,Pune,Furniture,Tables,P003,Office Desk,23990.54,2,0.05,12021.81,11968.74,No,2023-01-04
O000106,2023-01-04,C1117,Customer 1117,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Writing,P010,Premium Pen Set,598.22,1,0.1,240.51,357.7,No,2023-01-04
O000129,2023-01-04,C1114,Customer 1114,New,Corporate,North,Delhi,Delhi,Technology,Accessories,P011,Wireless Mouse,927.68,1,0.1,369.65,558.03,No,2023-01-04
O000012,2023-01-05,C1462,Customer 1462,New,Corporate,West,Gujarat,Ahmedabad,Furniture,Office Furniture,P001,Laptop Stand,3368.7,3,0.0,1446.06,1922.64,No,2023-01-05
O000038,2023-01-05,C1352,Customer 1352,New,Consumer,West,Maharashtra,Pune,Technology,Accessories,P011,Wireless Mouse,1064.7,1,0.05,418.1,646.59,No,2023-01-05
O000048,2023-01-05,C0044,Customer 0044,New,Consumer,East,West Bengal,Kolkata,Office Supplies,Binders,P008,Stapler Set,245.15,1,0.1,87.69,157.46,No,2023-01-05
O000064,2023-01-05,C0435,Customer 0435,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Binders,P008,Stapler Set,219.43,1,0.15,82.0,137.43,No,2023-01-05
O000074,2023-01-05,C0665,Customer 0665,New,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Lighting,P005,LED Desk Lamp,1194.3,1,0.15,532.59,661.71,No,2023-01-05
O000084,2023-01-05,C0832,Customer 0832,New,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Lighting,P005,LED Desk Lamp,1341.61,1,0.05,577.47,764.15,No,2023-01-05
O000085,2023-01-05,C1408,Customer 1408,New,Consumer,South,Tamil Nadu,Chennai,Furniture,Office Furniture,P001,Laptop Stand,1114.13,1,0.1,462.2,651.93,No,2023-01-05
O000119,2023-01-05,C1104,Customer 1104,New,Consumer,South,Kerala,Kochi,Technology,Accessories,P018,Noise Cancelling Headset,5830.46,1,0.1,2605.97,3224.49,No,2023-01-05
O000004,2023-01-06,C0932,Customer 0932,New,Corporate,South,Karnataka,Bengaluru,Technology,Accessories,P015,Webcam,6115.78,2,0.1,2709.5,3406.28,No,2023-01-06
O000017,2023-01-06,C0123,Customer 0123,New,Consumer,North,Rajasthan,Jaipur,Office Supplies,Writing,P010,Premium Pen Set,590.04,1,0.1,229.44,-18.03,Yes,2023-01-06
O000033,2023-01-06,C1157,Customer 1157,New,Corporate,North,Uttarakhand,Dehradun,Furniture,Storage,P004,Bookshelf,7234.21,1,0.05,3311.52,3922.69,No,2023-01-06
O000040,2023-01-06,C0159,Customer 0159,New,Consumer,South,Kerala,Kochi,Technology,Accessories,P018,Noise Cancelling Headset,5315.58,1,0.1,2475.04,2840.54,No,2023-01-06
O000077,2023-01-06,C0262,Customer 0262,New,Consumer,North,Uttar Pradesh,Lucknow,Technology,Accessories,P015,Webcam,6948.02,2,0.05,2882.5,4065.52,No,2023-01-06
O000116,2023-01-06,C0631,Customer 0631,New,Corporate,North,Uttarakhand,Dehradun,Technology,Accessories,P015,Webcam,6791.9,2,0.0,3130.96,3660.94,No,2023-01-06
O000134,2023-01-06,C1372,Customer 1372,New,Consumer,South,Tamil Nadu,Chennai,Technology,Accessories,P014,USB-C Hub,2101.06,1,0.1,905.55,1195.51,No,2023-01-06
O000115,2023-01-08,C1244,Customer 1244,New,Corporate,West,Gujarat,Ahmedabad,Technology,Accessories,P014,USB-C Hub,1789.9,1,0.15,737.03,-52.64,Yes,2023-01-08
O000031,2023-01-09,C0802,Customer 0802,New,Corporate,West,Madhya Pradesh,Indore,Office Supplies,Paper,P006,Notebook Pack,1123.89,3,0.1,415.09,708.8,No,2023-01-09
O000068,2023-01-09,C0956,Customer 0956,New,Small Business,South,Kerala,Kochi,Office Supplies,Storage,P009,File Organizer,600.88,1,0.0,217.11,383.77,No,2023-01-09
O000070,2023-01-09,C0068,Customer 0068,New,Consumer,West,Gujarat,Ahmedabad,Technology,Accessories,P018,Noise Cancelling Headset,17444.46,3,0.05,7701.18,9743.28,No,2023-01-09
O000087,2023-01-09,C1377,Customer 1377,New,Small Business,South,Kerala,Kochi,Office Supplies,Storage,P009,File Organizer,536.21,1,0.05,205.32,330.89,No,2023-01-09
O000102,2023-01-09,C0117,Customer 0117,New,Consumer,North,Rajasthan,Jaipur,Office Supplies,Binders,P008,Stapler Set,238.86,1,0.05,87.08,151.78,No,2023-01-09
O000132,2023-01-09,C0388,Customer 0388,New,Consumer,South,Tamil Nadu,Coimbatore,Technology,Monitors,P013,27-inch Monitor,18461.07,1,0.0,9451.11,9009.96,No,2023-01-09
O000009,2023-01-10,C1071,Customer 1071,New,Corporate,North,Chandigarh,Chandigarh,Technology,Accessories,P011,Wireless Mouse,3381.89,3,0.0,1401.85,1980.03,No,2023-01-10
O000039,2023-01-10,C0421,Customer 0421,New,Small Business,West,Gujarat,Ahmedabad,Office Supplies,Binders,P008,Stapler Set,224.58,1,0.15,81.4,143.18,No,2023-01-10
O000093,2023-01-10,C0571,Customer 0571,New,Small Business,West,Maharashtra,Mumbai,Office Supplies,Paper,P006,Notebook Pack,352.65,1,0.15,123.34,229.31,No,2023-01-10
O000107,2023-01-10,C0156,Customer 0156,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Lighting,P005,LED Desk Lamp,2613.11,2,0.1,1136.06,1477.05,No,2023-01-10
O000002,2023-01-11,C0045,Customer 0045,New,Consumer,North,Delhi,Delhi,Technology,Accessories,P011,Wireless Mouse,2866.24,3,0.15,1211.15,1655.09,No,2023-01-11
O000005,2023-01-11,C0046,Customer 0046,New,Consumer,South,Karnataka,Bengaluru,Office Supplies,Paper,P006,Notebook Pack,341.4,1,0.15,123.14,218.26,No,2023-01-11
O000060,2023-01-11,C0024,Customer 0024,New,Small Business,North,Rajasthan,Jaipur,Office Supplies,Lighting,P005,LED Desk Lamp,1476.41,1,0.0,636.61,839.8,No,2023-01-11
O000066,2023-01-11,C0421,Customer 0421,New,Small Business,South,Telangana,Hyderabad,Office Supplies,Paper,P007,Printer Paper Box,1508.45,2,0.05,636.07,872.38,No,2023-01-10
O000069,2023-01-11,C0003,Customer 0003,New,Small Business,North,Uttarakhand,Dehradun,Technology,Storage,P017,External SSD 1TB,13643.06,2,0.15,6853.56,6789.5,No,2023-01-11
O000088,2023-01-11,C0587,Customer 0587,New,Consumer,South,Kerala,Kochi,Technology,Accessories,P014,USB-C Hub,4058.45,2,0.05,1818.54,2239.9,No,2023-01-11
